2021-12-11 22:12:695 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: salarymin]
2021-12-11 22:12:206 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (13b370377b3b547e3266a66257d00fd4)] -> id: hp-search-btn]
2021-12-11 22:12:598 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:697 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: keywords]
2021-12-11 22:12:30 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: location]
2021-12-11 22:12:327 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 22:12:676 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: toggle-hp-search]
2021-12-11 22:12:187 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: salarymax]
2021-12-11 22:12:328 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: salarymax]
2021-12-11 22:12:593 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: salarymin]
2021-12-11 22:12:771 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: salarymin]
2021-12-11 22:12:41 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (e1a0b3ce8884e32b7ec3b5bb6035171a)] -> id: hp-search-btn]
2021-12-11 22:12:426 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:642 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: keywords]
2021-12-11 22:12:915 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: location]
2021-12-11 22:12:163 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 22:12:509 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: toggle-hp-search]
2021-12-11 22:12:862 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: salarymax]
2021-12-11 22:12:963 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: salarymax]
2021-12-11 22:12:207 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: salarymin]
2021-12-11 22:12:332 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: salarymin]
2021-12-11 22:12:623 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (57635e8721873705196ef232db5b4ee0)] -> id: hp-search-btn]
2021-12-11 22:12:983 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:825 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:158 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: keywords]
2021-12-11 22:12:469 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: location]
2021-12-11 22:12:623 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> xpath: (//select[@id='distance'])[1]]
2021-12-11 22:12:827 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: toggle-hp-search]
2021-12-11 22:12:195 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: salarymax]
2021-12-11 22:12:509 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: salarymax]
2021-12-11 22:12:671 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: salarymin]
2021-12-11 22:12:821 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: salarymin]
2021-12-11 22:12:24 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (ea912500a99e22d54b904e2f32e09330)] -> id: hp-search-btn]
2021-12-11 22:12:193 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:964 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: keywords]
2021-12-11 22:12:341 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> id: location]
2021-12-11 22:12:731 INFO  HomePage :86 - Selecting Distance : [[ChromeDriver: chrome on WINDOWS (9b3dccefae17842292a40071197cdec9)] -> xpath: (//select[@id='distance'])[1]]
